Only Date,Gewicht,Mahlzeit,Kalorien,Fett (g),Gesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Transfettsäuren,Cholesterin,Natrium (mg),Kalium,Kohlenhydrate (g),Ballaststoffe,Zucker,Eiweiß (g),Vitamin A,Vitamin C,Kalzium,Eisen,export_headers.note_x,Training,Typ,Kalorien aus Training,Minuten für dieses Training,Serien,Wdh. pro Serie,Kilogramm,Schritte,export_headers.note_y,Weight (kg),BMI,Body Fat (%),Visc Fat,Muscle Mass (kg),Muscle Quality,Bone Mass (kg),BMR (kcal),Metab Age,Body Water (%),Physique Rating,Muscle mass - right arm,Muscle mass - left arm,Muscle mass - right leg,Muscle mass - left leg,Muscle mass - trunk,Muscle quality - right arm,Muscle quality - left arm,Muscle quality - right leg,Muscle quality - left leg,Body fat (%) - right arm,Body fat (%) - left arm,Body fat (%) - right leg,Body fat (%) - left leg,Body fat (%) - trunk,Körperfettanteil kg,Muscle Mass (kg) 7 Tage,Körperfettanteil kg 7 Tage,Body Fat (%) 7 Tage,Weight (kg) 7 Tage,Fett % Soll,Weight (kg) 500kcal,Weight (kg) 300kcal,Kalorien Gewichtsreduktion,Kalorien aus Training Summe 30 Tage,Kalorien aus Essen Summe 30 Tage,Kalorien Gewichtsänderung Summe 30 Tage,Grundumsatz pro Tag errechnet,Alter,"Grundumsatz Mifflin-St.-Jeor mit Faktor 1,12"
2025-05-31,0.0,0.0,95.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,5.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32.0,99.03,94.06,,,,,,50,
2025-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.97,98.96,94.02,,,,,,50,
2025-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.93,98.89,93.97,,,,,,50,
2025-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,98.81,93.93,,,,,,50,
2025-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.87,98.74,93.89,,,,,,50,
2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83,98.67,93.84,,,,,,50,
2025-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,98.6,93.8,,,,,,50,
2025-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.77,98.53,93.76,,,,,,50,
2025-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.73,98.46,93.72,,,,,,50,
2025-06-09,0.0,0.0,360.0,14.6,6.3,0.0,0.0,0.0,0.0,0.0,0.0,47.9,2.0,27.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.7,98.39,93.67,,,,,,50,
2025-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.67,98.31,93.63,,,,,,50,
2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.63,98.24,93.59,,,,,,50,
2025-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,98.17,93.54,,,,,,50,
2025-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.57,98.1,93.5,,,,,,50,
2025-06-14,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.53,98.03,93.46,,,,,,50,
2025-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,97.96,93.42,,,,,,50,
2025-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.47,97.89,93.37,,,,,,50,
2025-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.43,97.81,93.33,,,,,,50,
2025-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,97.74,93.29,,,,,,50,
2025-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37,97.67,93.24,,,,,,50,
2025-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.33,97.6,93.2,,,,,,50,
2025-06-21,97.6,0.0,1569.4,46.400000000000006,15.2,3.1,5.5,0.1,563.2,252.8,1190.3,170.5,14.0,68.3,117.7,204.1,295.2,16.8,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.3,97.53,93.16,,,,,,50,
2025-06-22,97.3,0.0,1848.6999999999998,77.4,15.3,3.2,18.0,0.0,273.5,42.099999999999994,1065.8,218.1,58.6,55.4,150.2,0.0,159.6,7.6,51.2,0.0,0.0,0.0,481.0,70.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.27,97.46,93.12,,,,,,50,
2025-06-23,96.9,0.0,1686.8,38.0,21.1,1.1,7.0,0.0,600.0,49.5,610.2,166.7,4.0,62.300000000000004,168.1,63.0,213.0,1.0,2.0,0.0,0.0,0.0,490.0,80.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.23,97.39,93.07,,,,,,50,
2025-06-24,97.2,0.0,1984.7,42.7,13.2,4.8,14.3,0.1,744.0,446.1,364.5,151.4,69.1,48.099999999999994,214.2,53.1,106.5,11.7,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.2,97.31,93.03,,,,,,50,
2025-06-25,96.9,0.0,1297.4,13.3,3.4,0.3,2.1,0.0,0.0,39.0,207.1,186.2,19.2,58.5,120.2,0.0,9.2,8.4,3.0,0.0,0.0,0.0,490.0,80.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.17,97.24,92.99,,,,,,50,
2025-06-26,97.1,0.0,1769.6,35.4,9.1,4.0,12.5,0.1,558.0,344.9,1370.6,261.0,43.800000000000004,68.3,135.2,47.7,160.8,37.5,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.13,97.17,92.94,,,,,,50,
2025-06-27,96.7,0.0,1142.6,31.1,7.6,3.1,6.9,0.1,558.0,215.0,333.5,94.5,1.5,36.0,110.1,47.800000000000004,106.5,11.2,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.1,97.1,92.9,,,,,,50,
2025-06-28,96.8,0.0,2256.9,39.3,9.1,1.4,4.2,0.0,186.0,74.0,366.7,218.4,2.3,67.2,239.8,53.6,12.5,23.6,11.7,0.0,0.0,0.0,507.0,87.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.07,97.03,92.86,,,,,,50,
2025-06-29,96.3,0.0,1809.8,30.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,154.0,3.6,82.5,203.7,0.0,0.0,0.0,13.0,0.0,0.0,0.0,490.0,80.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.03,96.96,92.82,,,,,,50,
2025-06-30,96.1,0.0,1735.7,36.7,13.6,0.2,0.0,0.0,442.0,0.1,917.4,187.0,4.0,81.5,168.39999999999998,0.0,47.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.0,96.89,92.77,,,,,,50,
2025-07-01,95.9,0.0,1827.0,68.6,28.299999999999997,6.4,21.6,0.1,911.0,402.5,1261.6,106.2,6.0,51.0,195.0,48.0,107.9,13.0,28.1,0.0,0.0,0.0,490.0,80.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.97,96.81,92.73,,,,,,50,
2025-07-02,95.8,0.0,1840.8,63.1,17.799999999999997,0.0,0.0,0.0,400.0,0.0,148.0,208.9,0.0,33.400000000000006,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.93,96.74,92.69,,,,,,50,
2025-07-03,96.4,0.0,1659.7,24.4,7.3,0.0,0.0,0.0,0.0,0.2,0.0,169.1,6.4,76.4,185.39999999999998,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.9,96.67,92.64,,,,,,50,
2025-07-04,96.0,0.0,1643.1,48.8,28.1,1.7,11.0,0.0,751.9,180.0,478.4,167.5,17.6,82.0,138.2,3.2,3.3,4.5,33.6,0.0,0.0,0.0,646.0,149.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.87,96.6,92.6,,,,,,50,
2025-07-05,95.5,0.0,1972.5,80.39999999999999,28.8,1.9,11.1,0.0,138.3,343.7,233.3,141.5,1.3,39.2,160.8,2.9,3.0,53.1,7.7,0.0,0.0,0.0,569.0,85.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.83,96.53,92.56,,,,,,50,
2025-07-06,96.0,0.0,1792.1999999999998,70.7,17.2,2.6,15.5,0.0,94.2,111.5,159.0,145.10000000000002,0.4,46.400000000000006,133.2,2.0,2.1,2.8,5.2,0.0,0.0,0.0,490.0,80.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.8,96.46,92.52,,,,,,50,
2025-07-07,96.1,0.0,1660.4,40.9,14.8,0.0,0.0,0.0,0.0,0.1,0.0,108.80000000000001,0.0,73.9,205.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.77,96.39,92.47,,,,,,50,
2025-07-08,96.2,0.0,1800.9,36.7,10.4,1.6,7.0,0.0,82.5,100.0,1140.4,180.9,3.6,93.80000000000001,177.7,27.3,47.2,1.1,14.5,0.0,0.0,0.0,150.0,30.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.73,96.31,92.43,,,,,,50,
2025-07-09,95.7,0.0,1468.1,32.7,8.4,2.9,5.5,0.1,558.0,215.1,295.5,103.0,11.7,51.5,192.3,47.7,106.5,8.9,15.6,0.0,0.0,0.0,515.0,79.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.7,96.24,92.39,,,,,,50,
2025-07-10,95.5,0.0,2072.4,42.0,14.1,0.0,0.0,0.0,55.0,59.3,363.0,249.6,23.5,90.2,176.8,0.0,0.0,0.0,36.0,0.0,0.0,0.0,382.0,72.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.67,96.17,92.34,,,,,,50,
2025-07-11,95.3,0.0,2001.3000000000002,70.2,9.2,2.9,5.5,0.1,558.0,215.0,295.5,156.5,1.1,59.5,172.2,47.7,106.5,8.9,15.6,0.0,0.0,0.0,154.0,20.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.63,96.1,92.3,,,,,,50,
2025-07-12,95.3,0.0,1425.2,57.400000000000006,17.2,5.1,15.9,0.0,494.5,1494.0,833.0,73.2,4.9,22.0,155.8,10.8,0.0,6.2,20.7,0.0,0.0,0.0,321.0,51.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.6,96.03,92.26,,,,,,50,
2025-07-13,95.0,0.0,1639.0,47.400000000000006,10.0,0.0,0.0,0.0,400.0,0.0,148.0,161.5,5.2,0.0,106.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.57,95.96,92.22,,,,,,50,
2025-07-14,94.8,0.0,1552.0,29.1,5.9,0.1,0.0,0.0,125.4,18.1,290.3,145.9,13.5,46.2,148.1,103.3,349.3,1.6,3.3,0.0,0.0,0.0,306.0,60.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.53,95.89,92.17,,,,,,50,
